Confidence,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Page,Commodity Number,Commodity Description,Tariff Paragraph
0.952725112438202,243,2049,431,2043,432,2078,244,2084,28,0023 800d1,,
0.9244117736816406,518,2045,967,2048,967,2085,518,2082,28,,Frog legs (C.D. 610-4/6/42),
0.9975498914718628,2153,2043,2241,2046,2239,2087,2152,2084,28,,,1558
0.7026658058166504,1226,2053,1289,2039,1299,2084,1236,2098,28,,(4),
0.9979304075241088,243,2080,393,2077,394,2112,243,2115,28,,,0023900
0.8687573671340942,518,2080,830,2084,830,2118,518,2114,28,,"Meats, n. s. p. f----",
0.9931763410568236,519,2141,903,2144,902,2178,519,2175,28,,"Birds, including poultry:",
0.959336757659912,552,2174,988,2174,988,2208,552,2208,28,,"Dead, dressed or undressed:",
0.959032654762268,243,2203,392,2202,393,2237,243,2238,28,0024 000,,
0.9309613108634948,587,2204,752,2210,751,2241,586,2235,28,,Turkeys--,
0.7093667387962341,1229,2203,1293,2199,1296,2244,1232,2249,28,,（4),
0.9356297254562378,245,2234,392,2234,392,2269,245,2269,28,0025 400,,
0.991545021533966,589,2234,927,2238,926,2272,589,2268,28,,Chickens and guineas,
0.6583974361419678,1231,2227,1296,2227,1296,2277,1231,2277,28,,(4),
0.9544396996498108,245,2296,391,2296,391,2331,245,2331,28,0025 500,,
0.9391830563545228,590,2297,892,2301,891,2335,590,2331,28,,Ducks andgeese--.,
0.7225052714347839,1230,2294,1296,2294,1296,2338,1230,2338,28,,(4),
0.9358522891998292,246,2359,392,2359,392,2394,246,2394,28,0025 900,,
0.9218023419380188,589,2359,1326,2359,1326,2399,589,2399,28,,"Birds, n, s. p. f. (including game birds)−- (4)]",
0.9866477847099304,483,2421,838,2424,837,2459,483,2456,28,,Prepared or preserved:,
0.940050721168518,245,2453,429,2449,430,2484,246,2488,28,0026 500i5,,
0.9335785508155824,514,2451,1326,2453,1326,2493,514,2491,28,,"Turkeys, prepared or_preserved, n. 8. p. f. (4)1",
0.9389746189117432,554,2488,985,2488,985,2519,554,2519,28,,(forinerly part of 0026 000).,
0.921436607837677,246,2515,430,2512,431,2547,246,2550,28,0026 90015,,
0.9549469351768494,516,2514,1302,2514,1302,2558,516,2558,28,,"Birds, including poultry, prepared or pre- (4)",
0.953328251838684,548,2546,1222,2549,1222,2586,548,2583,28,,"served, n. e. s. (formerly part of 0026 000).",
0.9633206129074096,246,2575,393,2575,393,2613,246,2613,28,0028 000,,
0.9349480867385864,518,2577,1107,2581,1106,2618,518,2614,28,,"Canned beef, including corned beef--.",
0.7152019143104553,1232,2575,1294,2575,1294,2619,1232,2619,28,,（4）,
0.9941855669021606,248,2638,392,2638,392,2673,248,2673,28,,,0029000
0.945061981678009,518,2637,1062,2642,1062,2680,518,2675,28,,"Beef and veal, pickled or cured ""..-",
0.705401599407196,1233,2634,1297,2640,1293,2686,1229,2680,28,,(4),
0.9278185963630676,271,2712,1241,2717,1241,2751,271,2746,28,,"For explanation of supertor notations against commodity numbers and GATT rates,",
0.926065981388092,249,2741,455,2743,455,2771,249,2769,28,,refer to Foreword.,
0.9593005180358888,271,2777,876,2780,875,2811,271,2808,28,,1 Contingent upon proviso specifed In T. D. 51802.,
